"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.907770900E-2,4.785645306E-1,9.635896683E0,-1.071984529E0,9.707145807E0
2.162276100E-2,4.498506486E-1,9.643074989E0,-1.093519926E0,9.715299619E0
2.415604200E-2,4.043870270E-1,9.645467758E0,-1.119840980E0,9.718673827E0
2.668849000E-2,3.565305769E-1,9.655039787E0,-1.136590719E0,9.728244745E0
2.922099000E-2,3.158525825E-1,9.669396400E0,-1.160519004E0,9.743910609E0
3.175432300E-2,2.799602449E-1,9.681360245E0,-1.174875975E0,9.756405459E0
3.428760500E-2,2.440679073E-1,9.698110580E0,-1.172483087E0,9.771777452E0
3.682005200E-2,2.057827413E-1,9.717252731E0,-1.155733347E0,9.787904104E0
3.935255200E-2,1.651047617E-1,9.726823807E0,-1.134197950E0,9.794118947E0
4.188583400E-2,1.339980662E-1,9.741181374E0,-1.124626637E0,9.806801472E0
4.441916700E-2,1.028913707E-1,9.767501831E0,-1.119840980E0,9.832025350E0
4.695161500E-2,8.135596663E-2,9.781859398E0,-1.100698471E0,9.843928545E0
4.948411500E-2,7.896314561E-2,9.781859398E0,-1.071984529E0,9.840739774E0
5.201739600E-2,8.614161611E-2,9.784252167E0,-1.057627559E0,9.841625216E0
5.455067700E-2,8.853443712E-2,9.779465675E0,-1.040877819E0,9.835101112E0
5.708317700E-2,9.810572863E-2,9.769894600E0,-1.012163997E0,9.822674849E0
5.961562500E-2,1.292124242E-1,9.767501831E0,-9.810572863E-1,9.817497709E0
6.214895900E-2,1.627119333E-1,9.755537987E0,-9.499505758E-1,9.803030281E0
6.468224000E-2,1.986042857E-1,9.722038269E0,-9.284151793E-1,9.768286775E0
6.721468800E-2,2.249253243E-1,9.676574707E0,-9.044869542E-1,9.721357216E0
6.974718800E-2,2.344966233E-1,9.655039787E0,-8.901300430E-1,9.698820209E0
7.228052100E-2,2.368894368E-1,9.650253296E0,-8.997012973E-1,9.694997045E0
7.481380200E-2,2.440679073E-1,9.643074989E0,-9.140582681E-1,9.689373917E0
7.734625000E-2,2.512463629E-1,9.645467758E0,-9.140582681E-1,9.691938688E0
7.987875000E-2,2.727817893E-1,9.643074989E0,-9.140582681E-1,9.690139714E0
8.241203200E-2,2.823530734E-1,9.643074989E0,-9.212366939E-1,9.691093620E0
8.494536500E-2,2.871387303E-1,9.652647018E0,-9.164510965E-1,9.700305445E0
8.747781300E-2,3.086741269E-1,9.655039787E0,-9.140582681E-1,9.703121948E0
9.001031300E-2,3.158525825E-1,9.659825325E0,-9.140582681E-1,9.708114682E0
9.254359400E-2,3.014956415E-1,9.676574707E0,-9.379864931E-1,9.726603536E0
9.507687500E-2,2.632105052E-1,9.712467194E0,-9.930213690E-1,9.766646825E0
9.760937500E-2,2.249253243E-1,9.729216576E0,-1.043270707E0,9.787576837E0
1.001418230E-1,1.842473447E-1,9.731609344E0,-1.105484009E0,9.795930911E0
1.026751570E-1,1.483550072E-1,9.736394882E0,-1.179661512E0,9.808720395E0
1.052084380E-1,1.028913707E-1,9.738788605E0,-1.232303619E0,9.816983362E0
